Case ID,Type of cyber Attack ,Process 1,Process 2,Process 3 ,Process 4,Process 5,Process 6,Process 7,Process 8
85,Radio Frequency Identification (RFID) Skimming,Identification of RFID Systems,RFID Data Interception:,Unauthorized Access,,,,,
86,Biometric Data Theft,Biometric System Identification,Data Capture,Unauthorized Access,,,,,
87,Browser Extension Exploits,Malicious Extension Creation,Extension Distribution,Exploitation,,,,,
88,Logic Bombs,Insertion of Malicious Code,Activation Trigger,Payload Execution,,,,,
89,MAC Spoofing,Identification of Target Network,MAC Address Manipulation,Unauthorized Access,,,,,
90,Data Diddling,Data Manipulation,Concealing Changes,,,,,,
91,Domain Kiting,Domain Registration,Constant Registration and Cancellation,Malicious Use,,,,,
92,Fuzzing Attacks,Input Generation,Input Injection,Analysis,,,,,
93,XML External Entity (XXE) Attacks,XML Input with External Entity Reference,Entity Expansion,Data Extraction or Manipulation,,,,,
94,Bluejacking,Bluetooth Device Targeting,Device Interaction,No Unauthorized Access,,,,,
95,Red Team Attacks,Assessment Planning,Attack Simulation,Analysis and Reporting,,,,,
96,Gray Hat Hacking,Unauthorized Testing,Vulnerability Disclosure,Legal Ambiguity,,,,,
97,Key Management Exploits,Identification of Key Management Weaknesses,Key Extraction or Manipulation,Unauthorized Access or Data Manipulation,,,,,
98,Ghostware Attacks,Covert Actions,Data Exfiltration,Impact Mitigation,,,,,
99,Firewalking Attacks,Packet Analysis,Traversal Assessment,Mapping Network Perimeters,,,,,
100,Land Attack,IP Spoofing,Endless Looping Packets,Denial of Service (DoS,,,,,
101,Physical Layer Attacks,Physical Infrastructure Manipulation,Disruption of Connectivity,Impact on Network Operation,,,,,
102,Snorkeling Attacks,Underwater Communication Interception,Communication Analysis,Covert Operations,,,,,
103,Typhoon Attacks (Targeted Malware Delivery),Target Identification,Social Engineering,Malware Delivery,Exploitation,,,,
104,File Transfer Protocol (FTP) Bounce Attack,FTP Connection Setup,Bounce Target Identification,Bounce Attack Execution,,,,,
105,Teardrop Attacks,Packet Fragmentation,Manipulation of Fragment Offset Fields,Reassembly Errors,,,,,
106,BadUSB Attacks,Malicious Firmware Installation,Device Connection,Automated Exploitation,,,,,
107,Social Media Impersonation,Target Selection,Profile Creation,Engagement,,,,,
108,Bait-and-Switch Attacks,Initial Legitimate Interaction,Substitution,Exploitation,,,,,
109,Firmware Rootkits,Identification of Target Devices,Exploitation,Persistence,,,,,
110,Shadow IT Exploitation,Identification of Shadow IT,Vulnerability Assessment,Exploitation,,,,,
